dataset;alpha;dedpul;random_dedpul;brier_nnre;sigmoid_nnre;en
bank;0,95;0,05;0,051;0,05;0,05;0,053
bank;0,75;0,184;0,184;0,184;0,25;0,196
bank;0,5;0,23800000000000002;0,242;0,237;0,264;0,23800000000000002
bank;0,25;0,19699999999999998;0,19699999999999998;0,18600000000000003;0,192;0,19899999999999998
bank;0,050000000000000044;0,052000000000000005;0,054000000000000006;0,047;0,048;0,051
concrete;0,95;0,048;0,049;0,048;0,049;0,043
concrete;0,75;0,138;0,136;0,13;0,161;0,141
concrete;0,5;0,191;0,193;0,192;0,2;0,235
concrete;0,25;0,233;0,228;0,172;0,177;0,198
concrete;0,050000000000000044;0,064;0,07;0,05;0,05;0,05
housing;0,95;0,04;0,046;0,036000000000000004;0,048;0,034
housing;0,75;0,115;0,115;0,11;0,12;0,12300000000000001
housing;0,5;0,21899999999999997;0,21;0,201;0,195;0,213
housing;0,25;0,213;0,233;0,17600000000000002;0,17800000000000002;0,218
housing;0,050000000000000044;0,09300000000000001;0,107;0,05;0,053;0,061
landsat;0,95;0,012;0,012;0,012;0,013000000000000001;0,016
landsat;0,75;0,044000000000000004;0,044000000000000004;0,045;0,048;0,046
landsat;0,5;0,068;0,069;0,07;0,075;0,073
landsat;0,25;0,07400000000000001;0,076;0,077;0,083;0,078
landsat;0,050000000000000044;0,035;0,04;0,044000000000000004;0,046;0,036000000000000004
mnist_1;0,95;0,019;0,019;0,022000000000000002;0,027999999999999997;0,022000000000000002
mnist_1;0,75;0,062;0,062;0,075;0,098;0,079
mnist_1;0,5;0,09699999999999999;0,09699999999999999;0,1;0,125;0,127
mnist_1;0,25;0,125;0,12300000000000001;0,114;0,14;0,16699999999999998
mnist_1;0,050000000000000044;0,053;0,057999999999999996;0,049;0,052000000000000005;0,10400000000000001
mnist_2;0,95;0,023;0,023;0,037000000000000005;0,033;0,027000000000000003
mnist_2;0,75;0,07200000000000001;0,07200000000000001;0,08199999999999999;0,114;0,09300000000000001
mnist_2;0,5;0,11599999999999999;0,11599999999999999;0,11699999999999999;0,145;0,163
mnist_2;0,25;0,139;0,139;0,132;0,158;0,198
mnist_2;0,050000000000000044;0,053;0,055999999999999994;0,051;0,054000000000000006;0,139
mnist_3;0,95;0,019;0,018000000000000002;0,02;0,027000000000000003;0,022000000000000002
mnist_3;0,75;0,057999999999999996;0,057999999999999996;0,068;0,08900000000000001;0,07200000000000001
mnist_3;0,5;0,09;0,09;0,099;0,12;0,124
mnist_3;0,25;0,106;0,106;0,10400000000000001;0,11900000000000001;0,155
mnist_3;0,050000000000000044;0,052000000000000005;0,055;0,05;0,055;0,124
mushroom;0,95;0,003;0,004;0,013999999999999999;0,049;0,013000000000000001
mushroom;0,75;0,018000000000000002;0,017;0,035;0,048;0,039
mushroom;0,5;0,036000000000000004;0,035;0,047;0,07;0,062
mushroom;0,25;0,055;0,055;0,044000000000000004;0,25;0,067
mushroom;0,050000000000000044;0,053;0,055;0,05;0,05;0,05
pageblock;0,95;0,027999999999999997;0,027000000000000003;0,027000000000000003;0,05;0,031
pageblock;0,75;0,081;0,08;0,08800000000000001;0,114;0,111
pageblock;0,5;0,129;0,129;0,114;0,121;0,17300000000000001
pageblock;0,25;0,191;0,19399999999999998;0,145;0,128;0,201
pageblock;0,050000000000000044;0,09300000000000001;0,126;0,057;0,066;0,067
shuttle;0,95;0,001;0,002;0,002;0,004;0,008
shuttle;0,75;0,012;0,013999999999999999;0,004;0,006;0,015
shuttle;0,5;0,018000000000000002;0,018000000000000002;0,012;0,013999999999999999;0,02
shuttle;0,25;0,018000000000000002;0,023;0,013000000000000001;0,013000000000000001;0,019
shuttle;0,050000000000000044;0,017;0,02;0,011000000000000001;0,009000000000000001;0,04
spambase;0,95;0,026000000000000002;0,026000000000000002;0,024;0,025;0,027999999999999997
spambase;0,75;0,061;0,062;0,066;0,069;0,071
spambase;0,5;0,10300000000000001;0,10400000000000001;0,111;0,10300000000000001;0,132
spambase;0,25;0,13;0,132;0,12;0,10099999999999999;0,146
spambase;0,050000000000000044;0,066;0,078;0,048;0,046;0,054000000000000006
wine;0,95;0,003;0,003;0,003;0,003;0,009000000000000001
wine;0,75;0,006;0,006999999999999999;0,01;0,006999999999999999;0,017
wine;0,5;0,012;0,012;0,015;0,012;0,03
wine;0,25;0,015;0,016;0,015;0,013999999999999999;0,032
wine;0,050000000000000044;0,028999999999999998;0,03;0,018000000000000002;0,013999999999999999;0,04
