distribution;ds;dmu;alpha;cons_alpha;dedpul;random_dedpul;brier_nnre;sigmoid_nnre;en
laplace;1;1;0,95;0,601;0,027999999999999997;0,031;0,052000000000000005;0,136;0,064
laplace;1;1;0,75;0,474;0,037000000000000005;0,043;0,055999999999999994;0,156;0,075
laplace;1;1;0,5;0,31599999999999995;0,04;0,055999999999999994;0,059000000000000004;0,159;0,083
laplace;1;1;0,25;0,15799999999999992;0,055;0,073;0,063;0,156;0,064
laplace;1;1;0,050000000000000044;0,03200000000000003;0,036000000000000004;0,039;0,051;0,031;0,038
laplace;1;2;0,95;0,821;0,015;0,018000000000000002;0,02;0,055999999999999994;0,024
laplace;1;2;0,75;0,6479999999999999;0,027999999999999997;0,032;0,033;0,087;0,039
laplace;1;2;0,5;0,43200000000000005;0,037000000000000005;0,045;0,047;0,107;0,059000000000000004
laplace;1;2;0,25;0,21599999999999997;0,042;0,045;0,049;0,077;0,062
laplace;1;2;0,050000000000000044;0,04299999999999993;0,039;0,046;0,062;0,043;0,039
laplace;1;4;0,95;0,933;0,006;0,006;0,009000000000000001;0,013999999999999999;0,008
laplace;1;4;0,75;0,736;0,019;0,02;0,017;0,034;0,021
laplace;1;4;0,5;0,491;0,023;0,023;0,026000000000000002;0,042;0,042
laplace;1;4;0,25;0,245;0,026000000000000002;0,027999999999999997;0,036000000000000004;0,034;0,062
laplace;1;4;0,050000000000000044;0,049000000000000044;0,026000000000000002;0,025;0,05;0,048;0,049
laplace;2;0;0,95;0,475;0,057999999999999996;0,081;0,057999999999999996;0,179;0,04
laplace;2;0;0,75;0,375;0,062;0,084;0,059000000000000004;0,16399999999999998;0,040999999999999995
laplace;2;0;0,5;0,25;0,065;0,08900000000000001;0,055;0,16;0,043
laplace;2;0;0,25;0,125;0,063;0,083;0,06;0,12;0,046
laplace;2;0;0,050000000000000044;0,025000000000000022;0,031;0,034;0,05;0,024;0,034
laplace;4;0;0,95;0,712;0,039;0,049;0,036000000000000004;0,12;0,027999999999999997
laplace;4;0;0,75;0,562;0,046;0,053;0,044000000000000004;0,131;0,03
laplace;4;0;0,5;0,375;0,054000000000000006;0,066;0,048;0,113;0,04
laplace;4;0;0,25;0,18799999999999994;0,055999999999999994;0,057999999999999996;0,045;0,09300000000000001;0,05
laplace;4;0;0,050000000000000044;0,03799999999999992;0,033;0,035;0,059000000000000004;0,037000000000000005;0,04
normal;1;1;0,95;0,95;0,006;0,006999999999999999;0,006;0,049;0,004
normal;1;1;0,75;0,75;0,025;0,039;0,013999999999999999;0,191;0,015
normal;1;1;0,5;0,5;0,045;0,073;0,024;0,24;0,027999999999999997
normal;1;1;0,25;0,25;0,07400000000000001;0,132;0,032;0,174;0,037000000000000005
normal;1;1;0,050000000000000044;0,050000000000000044;0,048;0,054000000000000006;0,039;0,05;0,032
normal;1;2;0,95;0,95;0,006999999999999999;0,008;0,008;0,034;0,004
normal;1;2;0,75;0,75;0,027999999999999997;0,035;0,016;0,10099999999999999;0,017
normal;1;2;0,5;0,5;0,046;0,055;0,021;0,11699999999999999;0,036000000000000004
normal;1;2;0,25;0,25;0,05;0,053;0,027000000000000003;0,087;0,048
normal;1;2;0,050000000000000044;0,050000000000000044;0,032;0,037000000000000005;0,044000000000000004;0,049;0,038
normal;1;4;0,95;0,95;0,003;0,003;0,008;0,005;0,004
normal;1;4;0,75;0,75;0,008;0,01;0,012;0,01;0,019
normal;1;4;0,5;0,5;0,013000000000000001;0,016;0,02;0,011000000000000001;0,036000000000000004
normal;1;4;0,25;0,25;0,017;0,028999999999999998;0,027999999999999997;0,01;0,052000000000000005
normal;1;4;0,050000000000000044;0,050000000000000044;0,019;0,024;0,039;0,035;0,051
normal;2;0;0,95;0,475;0,049;0,055;0,040999999999999995;0,114;0,040999999999999995
normal;2;0;0,75;0,375;0,055999999999999994;0,057;0,043;0,10300000000000001;0,05
normal;2;0;0,5;0,25;0,054000000000000006;0,06;0,043;0,1;0,055
normal;2;0;0,25;0,125;0,05;0,054000000000000006;0,047;0,11;0,054000000000000006
normal;2;0;0,050000000000000044;0,025000000000000022;0,027000000000000003;0,03;0,048;0,024;0,034
normal;4;0;0,95;0,712;0,03;0,034;0,025;0,068;0,027999999999999997
normal;4;0;0,75;0,562;0,036000000000000004;0,035;0,031;0,068;0,043
normal;4;0;0,5;0,375;0,044000000000000004;0,047;0,035;0,057999999999999996;0,054000000000000006
normal;4;0;0,25;0,18799999999999994;0,039;0,043;0,040999999999999995;0,055;0,063
normal;4;0;0,050000000000000044;0,03799999999999992;0,024;0,027999999999999997;0,055999999999999994;0,036000000000000004;0,046
