dataset;ds;dmu;alpha;cons_alpha;random_state;KM_1;KM_2;baseline_dedpul;dedpul;e1_en;e3_en;em_en;random_dedpul
laplace;1;1;0;0;0;0,30630999999999997;0,10019;0,27841;0,0038299999999999996;0,0;0,039580000000000004;0,021;0,01201
laplace;1;1;0;0;1;0,37440999999999997;0,10019;0,542;0,0004;0,0;0,06898;0,053;0,0004
laplace;1;1;0;0;2;0,10019;0,10019;0,42838000000000004;0,00144;0,00281;0,09845;0,05407000000000001;0,0008900000000000001
laplace;1;1;0;0;3;0,57367;0,10019;0,8433700000000001;0,0004;0,0;0,09992000000000001;0,1252;0,00098
laplace;1;1;0;0;4;0,6128100000000001;0,10019;0,24703000000000003;0,0;0,00066;0,13276;0,2424;0,0
laplace;1;1;0;0;5;0,1302;0,10019;0,15081;0,06638;0,0;0,09724;0,068;0,014169999999999999
laplace;1;1;0;0;6;0,24503000000000003;0,10019;0,15081;0,00719;0,0;0,09268;0,075;0,00648
laplace;1;1;0;0;7;0,10019;0,10019;0,21711;0,03726;0,0;0,07764;0,141;0,02351
laplace;1;1;0;0;8;0,35009;0,10019;0,21829;0,0011300000000000001;0,0;0,04127;0,02;0,01103
laplace;1;1;0;0;9;0,35009;0,10019;0,40626999999999996;0,01475;0,0;0,03796;0,011000000000000001;0,01542
normal;1;1;0;0;0;0,62707;0,10019;0,34274;0,02071;0,0;0,06319;0,009000000000000001;0,01544
normal;1;1;0;0;1;0,35009;0,10019;0,2022;0,01771;4e-05;0,06957;0,051;0,02719
normal;1;1;0;0;2;0,39069;0,10019;0,53762;0,0;0,0;0,14725;0,19546;0,0
normal;1;1;0;0;3;0,3209;0,10019;0,41428000000000004;0,009470000000000001;0,0;0,04813;0,036000000000000004;0,015390000000000001
normal;1;1;0;0;4;0,37440999999999997;0,10019;0,45302;0,00026000000000000003;0,0006799999999999999;0,08;0,07802;0,00247
normal;1;1;0;0;5;0,25190999999999997;0,10019;0,26228;0,00418;0,0;0,08141;0,08748;0,0
normal;1;1;0;0;6;0,25428;0,10019;0,45842;0,00367;0,0;0,036719999999999996;0,012;0,00908
normal;1;1;0;0;7;0,34121999999999997;0,10910999999999998;0,73525;0,0004;0,0;0,02335;0,01;0,0004
normal;1;1;0;0;8;0,37440999999999997;0,10019;0,34781;0,019719999999999998;0,0;0,0733;0,057;0,02058
normal;1;1;0;0;9;0,23644;0,10019;0,48226;0,00247;0,0;0,05594;0,044000000000000004;0,00627
